"Name","BicepPath","BestPracticeResult","FairfaxDeployment","PublicDeployment","Status","QuickStartUri","BicepUri","QuickStartMoved","QuickStartAuthor","BicepAuthor","IsBicepQuickStart"
"101/storage-static-website","docs/examples/101/storage-static-website","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-front-door-standard-premium-storage-static-website","https://github.com/Azure/bicep/tree/main/docs/examples/101/storage-static-website","TRUE","johndowns","John Downs","True"
"101/template-spec-deploy","docs/examples/101/template-spec-deploy",,,,,,,,,,
"101/templatespec-create","docs/examples/101/templatespec-create","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.resources/templatespec-create","https://github.com/Azure/bicep/tree/main/docs/examples/101/templatespec-create","TRUE","bmoore-msft","Mickaël Mottet","False"
"101/vm-simple-linux","docs/examples/101/vm-simple-linux","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/101-vm-simple-linux","https://github.com/Azure/bicep/tree/main/docs/examples/101/vm-simple-linux","FALSE","bmoore-msft","Shenglong Li","False"
"101/vm-simple-windows","docs/examples/101/vm-simple-windows","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/101-vm-simple-windows","https://github.com/Azure/bicep/tree/main/docs/examples/101/vm-simple-windows","FALSE","bmoore-msft","Ould","False"
"101/vnet-two-subnets","docs/examples/101/vnet-two-subnets","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/vnet-two-subnets","https://github.com/Azure/bicep/tree/main/docs/examples/101/vnet-two-subnets","TRUE","telmosampaio","Alex Frankel","False"
"101/web-app-linux","docs/examples/101/web-app-linux",,,,,,,,,,
"101/web-app-windows","docs/examples/101/web-app-windows",,,,,,,,,,
"101/webapp-managed-mysql","docs/examples/101/webapp-managed-mysql","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/101-webapp-managed-mysql","https://github.com/Azure/bicep/tree/main/docs/examples/101/webapp-managed-mysql","FALSE","sunbuild","Mickaël Mottet","False"
"101/webapp-privateendpoint-vnet-injection","docs/examples/101/webapp-privateendpoint-vnet-injection","PASS","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.web/webapp-privateendpoint-vnet-injection","https://github.com/Azure/bicep/tree/main/docs/examples/101/webapp-privateendpoint-vnet-injection","TRUE","ericgre","Mickaël Mottet","False"
"101/website-with-container","docs/examples/101/website-with-container",,,,,,,,,,
"101/wvd-backplane","docs/examples/101/wvd-backplane",,,,,,,,,,
"201/1vm-2nics-2subnets-1vnet","docs/examples/201/1vm-2nics-2subnets-1vnet","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.compute/1vm-2nics-2subnets-1vnet","https://github.com/Azure/bicep/tree/main/docs/examples/201/1vm-2nics-2subnets-1vnet","TRUE","lmoxiel","Alex Frankel","False"
"201/aci-sftp-files","docs/examples/201/aci-sftp-files","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.containerinstance/aci-sftp-files","https://github.com/Azure/bicep/tree/main/docs/examples/201/aci-sftp-files","TRUE","bhummerstone","Mickaël Mottet","False"
"201/aci-wordpress","docs/examples/201/aci-wordpress","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-aci-wordpress","https://github.com/Azure/bicep/tree/main/docs/examples/201/aci-wordpress","FALSE","wenwu449","Alex Frankel","False"
"201/anchored-proximity-placement-group","docs/examples/201/anchored-proximity-placement-group",,,,,,,,,,
"201/api-management-create-all-resources","docs/examples/201/api-management-create-all-resources","FAIL","FAIL","FAIL","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-api-management-create-all-resources","https://github.com/Azure/bicep/tree/main/docs/examples/201/api-management-create-all-resources","FALSE","kedarjoshi","Mickaël Mottet","False"
"201/asev2-ilb-with-web-app","docs/examples/201/asev2-ilb-with-web-app","FAIL","FAIL","FAIL","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-asev2-ilb-with-web-app","https://github.com/Azure/bicep/tree/main/docs/examples/201/asev2-ilb-with-web-app","FALSE","maikvandergaag","Mickaël Mottet","False"
"201/cdn-with-storage-account","docs/examples/201/cdn-with-storage-account","FAIL","Not Supported","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-cdn-with-storage-account","https://github.com/Azure/bicep/tree/main/docs/examples/201/cdn-with-storage-account","FALSE","kuangweizhang","Mickaël Mottet","False"
"201/cloud-shell-vnet","docs/examples/201/cloud-shell-vnet","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/demos/cloud-shell-vnet","https://github.com/Azure/bicep/tree/main/docs/examples/201/cloud-shell-vnet","TRUE","maertendMSFT","Anthony Martin","False"
"201/create-and-enable-ddos-protection-plans","docs/examples/201/create-and-enable-ddos-protection-plans","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/create-and-enable-ddos-protection-plans","https://github.com/Azure/bicep/tree/main/docs/examples/201/create-and-enable-ddos-protection-plans","TRUE","mumian","Mickaël Mottet","False"
"201/cyclecloud","docs/examples/201/cyclecloud",,,,,,,,,,
"201/decrypt-running-windows-vm-without-aad","docs/examples/201/decrypt-running-windows-vm-without-aad","PASS","FAIL","FAIL","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-decrypt-running-windows-vm-without-aad","https://github.com/Azure/bicep/tree/main/docs/examples/201/decrypt-running-windows-vm-without-aad","FALSE","sudhakarareddyevuri","Anthony Martin","False"
"201/event-hub-and-consumer-group","docs/examples/201/event-hub-and-consumer-group","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.eventhub/event-hubs-create-event-hub-and-consumer-group","https://github.com/Azure/bicep/tree/main/docs/examples/201/event-hub-and-consumer-group","TRUE","v-ajnava","Mickaël Mottet","False"
"201/firewall-with-ip-from-prefix","docs/examples/201/firewall-with-ip-from-prefix",,,,,,,,,,
"201/front-door-with-webapplication-firewall","docs/examples/201/front-door-with-webapplication-firewall",,,,,,,,,,
"201/iot-with-storage","docs/examples/201/iot-with-storage",,,,,,,,,,
"201/key-vault-secret-create","docs/examples/201/key-vault-secret-create","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.keyvault/key-vault-secret-create","https://github.com/Azure/bicep/tree/main/docs/examples/201/key-vault-secret-create","TRUE","rahulpnath","Marcin Jastrzebski","False"
"201/log-analytics-with-solutions-and-diagnostics","docs/examples/201/log-analytics-with-solutions-and-diagnostics",,,,,,,,,,
"201/policy-azmonitor-agent-and-dcr-association","docs/examples/201/policy-azmonitor-agent-and-dcr-association",,,,,,,,,,
"201/policy-definition-with-assignment","docs/examples/201/policy-definition-with-assignment",,,,,,,,,,
"201/policy-with-initiative-definition-and-assignment","docs/examples/201/policy-with-initiative-definition-and-assignment",,,,,,,,,,
"201/portal-dashboard-with-appinsights","docs/examples/201/portal-dashboard-with-appinsights",,,,,,,,,,
"201/private-aks-cluster","docs/examples/201/private-aks-cluster","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-private-aks-cluster","https://github.com/Azure/bicep/tree/main/docs/examples/201/private-aks-cluster","FALSE","paolosalvatori","Takekazu Omi","False"
"201/proximity-placement-with-multi-resource-groups","docs/examples/201/proximity-placement-with-multi-resource-groups",,,,,,,,,,
"201/redis-premium-cluster-diagnostics","docs/examples/201/redis-premium-cluster-diagnostics","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.cache/redis-premium-cluster-diagnostics","https://github.com/Azure/bicep/tree/main/docs/examples/201/redis-premium-cluster-diagnostics","TRUE","steved0x","Anthony Martin","False"
"201/redis-premium-persistence","docs/examples/201/redis-premium-persistence","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-redis-premium-persistence","https://github.com/Azure/bicep/tree/main/docs/examples/201/redis-premium-persistence","FALSE","steved0x","Anthony Martin","False"
"201/servicebus-create-queue","docs/examples/201/servicebus-create-queue","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.servicebus/servicebus-create-queue","https://github.com/Azure/bicep/tree/main/docs/examples/201/servicebus-create-queue","TRUE","v-ajnava","Mickaël Mottet","False"
"201/shared-image-gallery-with-image-defintition-and-role-assignment","docs/examples/201/shared-image-gallery-with-image-defintition-and-role-assignment",,,,,,,,,,
"201/sql","docs/examples/201/sql","System.Object[]","System.Object[]","System.Object[]","System.Object[]","https://github.com/Azure/azure-quickstart-templates/tree/master/201-sql","https://github.com/Azure/bicep/tree/main/docs/examples/201/sql","FALSE","System.Object[]","Alex Frankel","System.Object[]"
"201/traffic-manager-webapp","docs/examples/201/traffic-manager-webapp","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/traffic-manager-webapp","https://github.com/Azure/bicep/tree/main/docs/examples/201/traffic-manager-webapp","TRUE","GarethBradshawMSFT","Mickaël Mottet","False"
"201/vm-copy-managed-disks","docs/examples/201/vm-copy-managed-disks","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.compute/vm-copy-managed-disks","https://github.com/Azure/bicep/tree/main/docs/examples/201/vm-copy-managed-disks","TRUE","sameeraman","Mickaël Mottet","False"
"201/vm-domain-join","docs/examples/201/vm-domain-join","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-vm-domain-join","https://github.com/Azure/bicep/tree/main/docs/examples/201/vm-domain-join","FALSE","singhkays","Mickaël Mottet","False"
"201/vm-new-or-existing-conditions","docs/examples/201/vm-new-or-existing-conditions","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.compute/vm-new-or-existing-conditions","https://github.com/Azure/bicep/tree/main/docs/examples/201/vm-new-or-existing-conditions","TRUE","bmoore-msft","Shenglong Li","False"
"201/vm-push-cert-windows","docs/examples/201/vm-push-cert-windows",,,,,,,,,,
"201/vm-windows-with-custom-script-extension","docs/examples/201/vm-windows-with-custom-script-extension",,,,,,,,,,
"201/vm-windows10-with-nvidia-gpu-extension-and-condition","docs/examples/201/vm-windows10-with-nvidia-gpu-extension-and-condition",,,,,,,,,,
"201/vmss-windows-autoscale","docs/examples/201/vmss-windows-autoscale","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.compute/vmss-windows-autoscale","https://github.com/Azure/bicep/tree/main/docs/examples/201/vmss-windows-autoscale","TRUE","gatneil","Mickaël Mottet","False"
"201/vnet-peering","docs/examples/201/vnet-peering","System.Object[]","System.Object[]","System.Object[]","System.Object[]","https://github.com/Azure/azure-quickstart-templates/tree/master/201-vnet-peering","https://github.com/Azure/bicep/tree/main/docs/examples/201/vnet-peering","FALSE","System.Object[]","Alex Frankel","System.Object[]"
"201/vnet-to-vnet-bgp","docs/examples/201/vnet-to-vnet-bgp","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.network/vnet-to-vnet-bgp","https://github.com/Azure/bicep/tree/main/docs/examples/201/vnet-to-vnet-bgp","TRUE","bhummerstone","Ben Hummerstone","False"
"201/vnet-to-vnet-peering","docs/examples/201/vnet-to-vnet-peering","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/201-vnet-to-vnet-peering","https://github.com/Azure/bicep/tree/main/docs/examples/201/vnet-to-vnet-peering","FALSE","bhummerstone","Mickaël Mottet","False"
"201/vnet-with-subnet-and-user-defined-route","docs/examples/201/vnet-with-subnet-and-user-defined-route",,,,,,,,,,
"201/vwan-shared-services","docs/examples/201/vwan-shared-services",,,,,,,,,,
"201/web-app-asev2-create","docs/examples/201/web-app-asev2-create","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.web/web-app-asev2-create","https://github.com/Azure/bicep/tree/main/docs/examples/201/web-app-asev2-create","TRUE","stefsch","Mickaël Mottet","False"
"201/web-app-conditional-log","docs/examples/201/web-app-conditional-log",,,,,,,,,,
"201/web-app-loganalytics","docs/examples/201/web-app-loganalytics","PASS","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.web/web-app-loganalytics","https://github.com/Azure/bicep/tree/main/docs/examples/201/web-app-loganalytics","TRUE","JFolberth","JFolberth","False"
"201/web-app-loganalytics-mod","docs/examples/201/web-app-loganalytics-mod",,,,,,,,,,
"201/web-app-sql-database","docs/examples/201/web-app-sql-database","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.web/web-app-sql-database","https://github.com/Azure/bicep/tree/main/docs/examples/201/web-app-sql-database","TRUE","leestott","Mickaël Mottet","False"
"201/wvd-backplane-with-network-and-storage-and-monitoring","docs/examples/201/wvd-backplane-with-network-and-storage-and-monitoring",,,,,,,,,,
"201/wvd-create-hostpool","docs/examples/201/wvd-create-hostpool",,,,,,,,,,
"301/deployifnotexists-policy-with-initiative-and-assignment","docs/examples/301/deployifnotexists-policy-with-initiative-and-assignment",,,,,,,,,,
"301/deployment-script-dev-environment","docs/examples/301/deployment-script-dev-environment",,,,,,,,,,
"301/expressroute-circuit-vnet-connection","docs/examples/301/expressroute-circuit-vnet-connection","FAIL","FAIL","FAIL","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/301-expressroute-circuit-vnet-connection","https://github.com/Azure/bicep/tree/main/docs/examples/301/expressroute-circuit-vnet-connection","FALSE","amitsriva","Mickaël Mottet","False"
"301/function-app-with-custom-domain-managed-certificate","docs/examples/301/function-app-with-custom-domain-managed-certificate",,,,,,,,,,
"301/insights-alertrules-application-insights","docs/examples/301/insights-alertrules-application-insights","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/quickstarts/microsoft.insights/insights-alertrules-application-insights","https://github.com/Azure/bicep/tree/main/docs/examples/301/insights-alertrules-application-insights","TRUE","janusznowak","Mickaël Mottet","False"
"301/log-analytics-with-datasources-solutions","docs/examples/301/log-analytics-with-datasources-solutions",,,,,,,,,,
"301/modules-vwan-to-vnet-s2s-with-fw","docs/examples/301/modules-vwan-to-vnet-s2s-with-fw",,,,,,,,,,
"301/nested-vms-in-virtual-network","docs/examples/301/nested-vms-in-virtual-network","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/demos/nested-vms-in-virtual-network","https://github.com/Azure/bicep/tree/main/docs/examples/301/nested-vms-in-virtual-network","TRUE","RyanLWilliams","Alex Frankel","False"
"301/publish-api-to-apim-opendocs","docs/examples/301/publish-api-to-apim-opendocs",,,,,,,,,,
"301/servicebus-namespace-vnet","docs/examples/301/servicebus-namespace-vnet","FAIL","PASS","PASS","Live","https://github.com/Azure/azure-quickstart-templates/tree/master/301-servicebus-namespace-vnet","https://github.com/Azure/bicep/tree/main/docs/examples/301/servicebus-namespace-vnet","FALSE","v-ajnava","Mickaël Mottet","False"
"301/sql-database-with-management","docs/examples/301/sql-database-with-management",,,,,,,,,,
"301/web-app-managed-identity-sql-db","docs/examples/301/web-app-managed-identity-sql-db",,,,,,,,,,
